REPORT,PUBLISH_DATE,PUBLISH_DATE_STRING,MEASURE_CATEGORY,MEASURE_GROUP,MEASURE_ID,MEASURE_NAME,SUBMEASURE_NAME,USNWR_METRIC,MEASURE_DESCRIPTION,MEASURE_YEAR,MEASURE_RESULT_STRING_FORMAT,DESIRED_DIRECTION,REPORTING_START_DATE,REPORTING_END_DATE,DATA_SOURCE_1,DATA_SOURCE_2
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_SUMMATION_OF_OUTCOME_COMPONENTS,OUTCOME SUMMARY SCORE,SUMMATION OF OUTCOME COMPONENTS (U.S. NEWS VALUES),Summation of Outcome Components (U.S. News Values),Sum of points across all outcome-domain measures.,,DECIMAL_2,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_SUMMATION_OF_PROCESS_COMPONENTS,PROCESS SUMMARY SCORE,SUMMATION OF PROCESS COMPONENTS (U.S. NEWS VALUES),Summation of Process Components (U.S. News Values),Sum of points across all process-domain measures.,,DECIMAL_2,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_SUMMATION_OF_STRUCTURAL_COMPONENTS,STRUCTURE SUMMARY SCORE,SUMMATION OF STRUCTURAL COMPONENTS (U.S. NEWS VALUES),Summation of Structural Components (U.S. News Values),Sum of points across all structure-domain measures.,,DECIMAL_2,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_TOTAL_NUMBER_OF_PATIENTS_INPATIENT_AND_OUTPATIENT,TOTAL NUMBER OF PATIENTS (INPATIENT & OUTPATIENT),TOTAL NUMBER OF PATIENTS (INPATIENT & OUTPATIENT) (STRUCTURE),Total Number of Patients (Inpatient & Outpatient) (Structure),Total Medicare patient volume for this procedure/condition. Inpatient and outpatient combined.,,DECIMAL_0,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_TOTAL_NUMBER_OF_PATIENTS_BAND_INPATIENT_AND_OUTPATIENT,TOTAL NUMBER OF PATIENTS (INPATIENT & OUTPATIENT),TOTAL NUMBER OF PATIENTS BAND (INPATIENT & OUTPATIENT) (STRUCTURE),Total Number of Patients Band (Inpatient & Outpatient) (Structure),Categorical performance band for total Medicare patient volume for this procedure/condition. Inpatient and outpatient combined.,,STRING,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_TOTAL_NUMBER_OF_PATIENTS_SCORE_INPATIENT_AND_OUTPATIENT,TOTAL NUMBER OF PATIENTS (INPATIENT & OUTPATIENT),TOTAL NUMBER OF PATIENTS SCORE (INPATIENT & OUTPATIENT) (STRUCTURE),Total Number of Patients Score (Inpatient & Outpatient) (Structure),Points contributed to the U.S. News score for total Medicare patient volume for this procedure/condition. Inpatient and outpatient combined.,,DECIMAL_0,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_U_S_NEWS_COMPOSITE_SCORE,U.S. NEWS OVERALL SCORE,U.S. NEWS COMPOSITE SCORE (U.S. NEWS VALUES),U.S. News Composite Score (U.S. News Values),Points contributed to the U.S. News score for u.S. News composite performance for the procedure/condition.,,DECIMAL_2,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2024,2024-2025,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_U_S_NEWS_OVERALL_RATING,U.S. NEWS OVERALL RATING,U.S. NEWS OVERALL RATING (U.S. NEWS VALUES),U.S. News Overall Rating (U.S. News Values),U.S. News overall rating for the procedure/condition (High Performing / Average / Below Average).,,STRING,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2025,2025-2026,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_U_S_NEWS_OVERALL_RATING,U.S. NEWS OVERALL RATING,U.S. NEWS OVERALL RATING (U.S. NEWS VALUES),U.S. News Overall Rating (U.S. News Values),U.S. News overall rating for the procedure/condition (High Performing / Average / Below Average).,,STRING,HIGHER,,,,
USNWR - ADULT PROCEDURES AND CONDITIONS,7/1/2024,2024-2025,MEASURE,GYNECOLOGICAL CANCER SURGERY,GYNECOLOGICAL_CANCER_SURGERY_U_S_NEWS_OVERALL_SCORE,U.S. NEWS OVERALL SCORE,U.S. NEWS OVERALL SCORE (U.S. NEWS VALUES),U.S. News Overall Score (U.S. News Values),U.S. News overall score for the procedure/condition.,,DECIMAL_2,HIGHER,,,,
